Namespace(batch_size=64, beta_moco=0.1, gamma_moco=0.1, gamma_modo=0.5, lr=0.1, moo_method='MoDo', num_epochs=1000, rho_moco=0.0, rho_modo=0.0, seed=9)

==================================================
Model parameter count per layer
==================================================
fc1.weight 	: 401408
fc1.bias 	: 512
fc2.weight 	: 5120
fc2.bias 	: 10
Total number of parametrs : 407050
--------------------------------------------------

==================================================
LOG FORMAT: Epoch: EPOCH | Descent Error: DESC ERROR
==================================================
Epoch:      0 | Descent Error: 0.3083312511
Epoch:     50 | Descent Error: 0.164892843
Epoch:    100 | Descent Error: 0.1153599912
Epoch:    150 | Descent Error: 0.0906215664
Epoch:    200 | Descent Error: 0.075841704
Epoch:    250 | Descent Error: 0.0660216895
Epoch:    300 | Descent Error: 0.0589761242
Epoch:    350 | Descent Error: 0.0535725991
Epoch:    400 | Descent Error: 0.049246867
Epoch:    450 | Descent Error: 0.0456904076
Epoch:    500 | Descent Error: 0.0427087882
Epoch:    550 | Descent Error: 0.0401562977
Epoch:    600 | Descent Error: 0.0379400621
Epoch:    650 | Descent Error: 0.0359966654
Epoch:    700 | Descent Error: 0.0342463433
Epoch:    750 | Descent Error: 0.032700403
